name,value,carbon_date,ranking,region
China,"10,773,248,000.0",2019,1,East and Southeast Asia
UnitedStates,"5,144,361,000.0",2019,2,North America
India,"2,314,738,000.0",2019,3,South Asia
Russia,"1,848,070,000.0",2019,4,Central Asia
Japan,"1,103,234,000.0",2019,5,East and Southeast Asia
Germany,"726,881,000.0",2019,6,Europe
"Korea,South","686,954,000.0",2019,7,East and Southeast Asia
Iran,"646,038,000.0",2019,8,Middle East
Canada,"612,084,000.0",2019,9,North America
SaudiArabia,"579,925,000.0",2019,10,Middle East
Indonesia,"563,543,000.0",2019,11,East and Southeast Asia
SouthAfrica,"470,358,000.0",2019,12,Africa
Mexico,"463,739,000.0",2019,13,North America
Brazil,"456,670,000.0",2019,14,South America
Australia,"417,870,000.0",2019,15,Australia and Oceania
UnitedKingdom,"398,084,000.0",2019,16,Europe
Turkey(Turkiye),"391,792,000.0",2019,17,Middle East
France,"338,425,000.0",2019,18,Europe
Italy,"332,041,000.0",2019,19,Europe
Thailand,"305,273,000.0",2019,20,East and Southeast Asia
Poland,"304,040,000.0",2019,21,Europe
Spain,"280,624,000.0",2019,22,Europe
Taiwan,"279,206,000.0",2019,23,East and Southeast Asia
UnitedArabEmirates,"276,236,000.0",2019,24,Middle East
Kazakhstan,"263,689,000.0",2019,25,Central Asia
Malaysia,"254,764,000.0",2019,26,East and Southeast Asia
Vietnam,"249,929,000.0",2019,27,East and Southeast Asia
Singapore,"238,983,000.0",2019,28,East and Southeast Asia
Egypt,"235,137,000.0",2019,29,Africa
Netherlands,"214,416,000.0",2019,30,Europe
Pakistan,"193,869,000.0",2019,31,South Asia
Argentina,"193,205,000.0",2019,32,South America
Ukraine,"185,686,000.0",2019,33,Europe
Algeria,"151,633,000.0",2019,34,Africa
Iraq,"143,479,000.0",2019,35,Middle East
Philippines,"142,282,000.0",2019,36,East and Southeast Asia
Belgium,"128,247,000.0",2019,37,Europe
Qatar,"111,922,000.0",2019,38,Middle East
Turkmenistan,"109,037,000.0",2019,39,Central Asia
Nigeria,"104,494,000.0",2019,40,Africa
Venezuela,"103,708,000.0",2019,41,South America
Uzbekistan,"102,965,000.0",2019,42,Central Asia
Czechia,"99,533,000.0",2019,43,Europe
Bangladesh,"96,180,000.0",2019,44,South Asia
Kuwait,"92,582,000.0",2019,45,Middle East
HongKong,"92,493,000.0",2019,46,East and Southeast Asia
Chile,"88,333,000.0",2019,47,South America
Colombia,"81,007,000.0",2019,48,South America
Oman,"76,321,000.0",2019,49,Middle East
Greece,"70,163,000.0",2019,50,Europe
Romania,"68,746,000.0",2019,51,Europe
Austria,"65,540,000.0",2019,52,Europe
Israel,"61,092,000.0",2019,53,Middle East
Morocco,"60,200,000.0",2019,54,Africa
Peru,"54,996,000.0",2019,55,South America
Belarus,"54,695,000.0",2019,56,Europe
Portugal,"50,370,000.0",2019,57,Europe
Hungary,"48,589,000.0",2019,58,Europe
Sweden,"48,144,000.0",2019,59,Europe
Serbia,"47,735,000.0",2019,60,Europe
Bahrain,"43,112,000.0",2019,61,Middle East
Finland,"41,996,000.0",2019,62,Europe
Laos,"40,726,000.0",2019,63,East and Southeast Asia
NewZealand,"40,344,000.0",2019,64,Australia and Oceania
TrinidadandTobago,"39,652,000.0",2019,65,Central America and the Caribbean
Switzerland,"38,739,000.0",2019,66,Europe
Bulgaria,"38,373,000.0",2019,67,Europe
Libya,"38,297,000.0",2019,68,Africa
Norway,"36,731,000.0",2019,69,Europe
Ecuador,"36,051,000.0",2019,70,South America
Ireland,"35,475,000.0",2019,71,Europe
Azerbaijan,"35,389,000.0",2019,72,Middle East
Denmark,"33,850,000.0",2019,73,Europe
Slovakia,"32,506,000.0",2019,74,Europe
Burma,"31,848,000.0",2019,75,East and Southeast Asia
Syria,"26,893,000.0",2019,76,Middle East
DominicanRepublic,"26,808,000.0",2019,77,Central America and the Caribbean
Lebanon,"25,838,000.0",2019,78,Middle East
Panama,"25,263,000.0",2019,79,Central America and the Caribbean
SriLanka,"23,939,000.0",2019,80,South Asia
Tunisia,"23,692,000.0",2019,81,Africa
Jordan,"23,470,000.0",2019,82,Middle East
Mongolia,"22,740,000.0",2019,83,East and Southeast Asia
Angola,"19,362,000.0",2019,84,Africa
Guatemala,"19,041,000.0",2019,85,Central America and the Caribbean
PuertoRico,"18,999,000.0",2019,86,Central America and the Caribbean
"Korea,North","18,465,000.0",2019,87,East and Southeast Asia
Ghana,"18,093,000.0",2019,88,Africa
Bolivia,"17,786,000.0",2019,89,South America
Kenya,"17,709,000.0",2019,90,Africa
Sudan,"17,319,000.0",2019,91,Africa
Ethiopia,"16,798,000.0",2019,92,Africa
Croatia,"16,752,000.0",2019,93,Europe
Cuba,"16,478,000.0",2019,94,Central America and the Caribbean
BosniaandHerzegovina,"16,209,000.0",2019,95,Europe
Lithuania,"14,503,000.0",2019,96,Europe
Gibraltar,"14,256,000.0",2019,97,Europe
Cambodia,"13,844,000.0",2019,98,East and Southeast Asia
Slovenia,"13,553,000.0",2019,99,Europe
Coted'Ivoire,"11,880,000.0",2019,100,Africa
Tanzania,"11,491,000.0",2019,101,Africa
Luxembourg,"11,308,000.0",2019,102,Europe
